trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
121,False,"{'e': 0.4820755748324838, 'a': 0.8}",25,0,2.9083609679408013,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
122,False,"{'e': 0.4762486013483311, 'a': 0.8}",25,10,-67.89046577341692,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
123,False,"{'e': 0.4704447763597383, 'a': 0.8}",20,12,-39.977832530709016,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
124,False,"{'e': 0.46466497720760713, 'a': 0.8}",20,3,-53.039559344482846,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
125,False,"{'e': 0.45891006329860323, 'a': 0.8}",35,8,-50.52349074526161,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 1}",1
126,False,"{'e': 0.4531808759821451, 'a': 0.8}",20,0,-20.81297866266159,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
127,False,"{'e': 0.4474782384379279, 'a': 0.8}",20,10,-30.35542200185192,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
128,False,"{'e': 0.44180295557391774, 'a': 0.8}",20,0,15.17189777559581,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'e': 0.4361558139347488, 'a': 0.8}",25,0,-50.693037599005685,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
130,False,"{'e': 0.43053758162044553, 'a': 0.8}",20,13,2.70831679550442,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'e': 0.4249490082153889, 'a': 0.8}",25,0,-19.75684688349963,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
132,False,"{'e': 0.41939082472743744, 'a': 0.8}",20,7,3.1722857020097006,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
133,False,"{'e': 0.4138637435371096, 'a': 0.8}",25,1,-25.289646692451715,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 0}",1
134,False,"{'e': 0.40836845835672625, 'a': 0.8}",20,2,-13.088615925908273,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'e': 0.40290564419940883, 'a': 0.8}",20,6,-0.10891248492686656,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
